# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	942
#@/user_id	4fb8f7d9-104e-4807-ad03-13bea3f26262
a 	啊	c=3 d=1.38235 t=942
ai 	唉	c=1 d=0.814647 t=942
ai 	愛	c=1 d=0.923116 t=942
ai si ku luo si 	埃斯庫羅斯	c=1 d=0.474734 t=942
an 	按	c=1 d=0.429557 t=942
an jian 	按鍵	c=1 d=0.951229 t=942
ba 	吧	c=6 d=2.64257 t=942
ban 	版	c=1 d=0.66034 t=942
ban fa 	辦法	c=0 d=0.0229925 t=942
bao hao 	保號	c=2 d=1.06247 t=942
bao kuo 	包括	c=1 d=0.115903 t=942
bei 	被	c=2 d=1.78123 t=942
bei jing 	背景	c=3 d=2.61096 t=942
bi 	逼	c=0 d=0.0771052 t=942
bi jiao 	比較	c=1 d=0.810584 t=942
bi qu jian 	閉區間	c=1 d=0.895834 t=942
bi you 	必有	c=1 d=0.786628 t=942
bian kuang 	邊框	c=2 d=1.62659 t=942
biao 	表	c=0 d=0.0197899 t=942
biao mian 	表面	c=1 d=0.205975 t=942
biao shi 	表示	c=1 d=0.429557 t=942
biao xi ai ni 	表喜愛你	c=1 d=0.198891 t=942
biao xian 	表現	c=5 d=0.862183 t=942
bie 	別	c=0 d=0.0225373 t=942
bie ren 	別人	c=2 d=0.359631 t=942
bie zhe yang 	別這樣	c=1 d=0.226502 t=942
bing 	並	c=1 d=0.423162 t=942
bu 	不	c=1 d=0.141741 t=942
bu cuo 	不錯	c=1 d=0.102779 t=942
bu ding 	補丁	c=1 d=0.937067 t=942
bu gei 	不給	c=1 d=0.196912 t=942
bu gei 	補給	c=1 d=0.189191 t=942
bu gou 	不夠	c=1 d=0.12938 t=942
bu hao 	不好	c=1 d=0.351692 t=942
bu hui 	不會	c=1 d=0.0728029 t=942
bu ji mo 	不寂寞	c=1 d=0.88692 t=942
bu ming que 	不明確	c=0 d=0.070822 t=942
bu neng 	不能	c=2 d=0.172693 t=942
bu qu 	不去	c=2 d=1.26081 t=942
bu shi 	不是	c=2 d=0.97531 t=942
bu shi de 	不是的	c=1 d=0.937067 t=942
bu shuang 	不爽	c=0 d=0.00710054 t=942
bu tai 	不太	c=1 d=0.113042 t=942
bu tai hao 	不太好	c=1 d=0.246597 t=942
bu wan 	不玩	c=0 d=0.00780817 t=942
bu xi huan 	不喜歡	c=2 d=0.743373 t=942
bu xiang 	不想	c=1 d=0.847894 t=942
bu yao 	不要	c=1 d=0.937067 t=942
bu yi yang 	不一樣	c=1 d=0.519442 t=942
bu zhi dao 	不知道	c=1 d=0.941765 t=942
bu zou 	步驟	c=1 d=0.418952 t=942
cai 	菜	c=3 d=2.03178 t=942
cai xing 	才行	c=1 d=0.321422 t=942
can jia 	參加	c=1 d=0.579842 t=942
cang jie 	倉頡	c=1 d=0.960789 t=942
chang ge 	唱歌	c=1 d=0.99005 t=942
chang shu 	常數	c=1 d=0.392586 t=942
chang shu 	常熟	c=1 d=0.390628 t=942
cheng 	成	c=1 d=0.522491 t=942
cheng ti xi 	成體系	c=1 d=0.802519 t=942
chu deng 	初等	c=4 d=2.01753 t=942
chu le 	出了	c=1 d=0.400517 t=942
chun cui 	純粹	c=1 d=0.634448 t=942
ci 	次	c=2 d=0.983521 t=942
cong 	從	c=1 d=0.142987 t=942
cun zai 	存在	c=2 d=1.56973 t=942
cuo wu 	錯誤	c=1 d=0.367879 t=942
da 	打	c=2 d=0.701328 t=942
da ge 	大哥	c=1 d=0.965605 t=942
da hou tian 	大後天	c=1 d=0.0655462 t=942
da lao 	大佬	c=2 d=0.132425 t=942
da te 	打特	c=1 d=1 t=942
da xiao 	大小	c=1 d=1 t=942
da xue 	大學	c=2 d=0.236501 t=942
dan diao 	單調	c=1 d=0.778801 t=942
dan shi 	但是	c=3 d=1.31815 t=942
dang ran 	當然	c=4 d=1.36708 t=942
dao 	到	c=1 d=0.960789 t=942
dao 	導	c=1 d=0.986264 t=942
dao bu shi 	倒不是	c=1 d=0.650509 t=942
dao ru 	導入	c=1 d=0.99005 t=942
dao shu 	導數	c=1 d=0.97531 t=942
de 	的	c=64 d=16.1476 t=942
dei 	得	c=1 d=0.157237 t=942
deng jia 	等價	c=1 d=0.843665 t=942
di 	低	c=1 d=0.146607 t=942
di 	地	c=1 d=0.0944202 t=942
di diao 	低調	c=1 d=0.140858 t=942
di fang 	地方	c=2 d=0.336348 t=942
di jie 	低階	c=1 d=0.905118 t=942
di jie wu qiong xiao 	低階無窮小	c=1 d=0.826959 t=942
di wei 	地位	c=1 d=0.140156 t=942
di yi zhang 	第一章	c=1 d=0.305746 t=942
dian 	點	c=2 d=0.398729 t=942
dian zi 	電子	c=1 d=0.657047 t=942
