# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
a 	阿	c=6 d=2.29311 t=8423
a bao 	阿寶	c=1 d=1 t=7074
a hong 	阿訇	c=1 d=1 t=4787
a li 	阿里	c=1 d=1 t=1906
a xiang 	啊翔	c=3 d=1.7016 t=5269
a xiang 	阿香	c=2 d=1.30422 t=3588
a yi 	阿姨	c=1 d=1 t=3712
ai 	唉	c=1 d=0.559898 t=8531
ai 	愛	c=2 d=1.99005 t=3235
ai de 	愛的	c=1 d=1 t=3423
ai duo da le 	唉多大了	c=1 d=1 t=2375
ai ni 	愛你	c=1 d=1 t=2351
an 	安	c=1 d=0.951229 t=8531
an 	按	c=4 d=0.946485 t=8531
an 	暗	c=1 d=1 t=2043
an li 	安利	c=1 d=1 t=2196
an li shuo 	按理說	c=1 d=1 t=2435
an pai 	安排	c=2 d=1.00002 t=4572
an pai de 	安排的	c=1 d=1 t=1034
an quan 	安全	c=16 d=0.100073 t=7542
an quan zu 	安全組	c=1 d=1 t=7543
an quan zu 	按勸阻	c=1 d=1 t=7542
an ruan 	安軟	c=1 d=1 t=1915
an zhao 	按照	c=1 d=1 t=483
an zhuang 	安裝	c=7 d=2.1925 t=8020
an zhuo 	安卓	c=1 d=1 t=6032
ao guo 	熬過	c=1 d=1 t=3691
aowu 	┗<(=｀O′=)>┛ 	c=1 d=0.99005 t=8531
ba 	吧	c=60 d=1.01569 t=8531
ba 	把	c=9 d=1.83477 t=8531
ba ba 	爸爸	c=2 d=1 t=7135
ba bai 	八百	c=2 d=1.90484 t=2543
ba le 	罷了	c=1 d=1 t=1059
bai 	百	c=1 d=1 t=3829
bai chi 	白癡	c=1 d=1 t=567
bai du 	百度	c=3 d=1.00019 t=7576
bai wan 	百萬	c=1 d=1 t=8006
ban 	版	c=3 d=1 t=5019
ban 	辦	c=3 d=1.34999 t=6643
ban ben 	版本	c=4 d=1 t=8438
ban fa 	辦法	c=1 d=0.408608 t=8531
