# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8552
#@/user_id	Mac-squirrel
a 	啊	c=119 d=2.01088 t=8552
a 	阿	c=6 d=1.33631 t=8552
a bao 	阿寶	c=1 d=0.000685748 t=8552
a hong 	阿訇	c=1 d=7.41323e-09 t=8552
a li 	阿里	c=1 d=4.11145e-15 t=8552
a xiang 	啊翔	c=3 d=1.40448e-07 t=8552
a xiang 	阿香	c=2 d=2.40859e-11 t=8552
a yi 	阿姨	c=1 d=3.43301e-11 t=8552
ai 	唉	c=1 d=0.559898 t=8552
ai 	愛	c=2 d=6.29138e-12 t=8552
ai de 	愛的	c=1 d=8.09318e-12 t=8552
ai duo da le 	唉多大了	c=1 d=4.28959e-14 t=8552
ai ni 	愛你	c=1 d=3.80453e-14 t=8552
an 	安	c=1 d=0.951229 t=8552
an 	按	c=4 d=0.946485 t=8552
an 	暗	c=1 d=8.15618e-15 t=8552
an li 	安利	c=1 d=1.75276e-14 t=8552
an li shuo 	按理說	c=1 d=5.79034e-14 t=8552
an pai 	安排	c=2 d=2.53017e-09 t=8552
an pai de 	安排的	c=1 d=5.25377e-17 t=8552
an quan 	安全	c=16 d=0.000712411 t=8552
an quan zu 	安全組	c=1 d=0.0071546 t=8552
an quan zu 	按勸阻	c=1 d=0.00711891 t=8552
an ruan 	安軟	c=1 d=4.30069e-15 t=8552
an zhao 	按照	c=1 d=3.34187e-18 t=8552
an zhuang 	安裝	c=7 d=0.17034 t=8552
an zhuo 	安卓	c=1 d=3.74533e-06 t=8552
ao guo 	熬過	c=1 d=3.09082e-11 t=8552
aowu 	┗<(=｀O′=)>┛ 	c=1 d=0.99005 t=8552
ba 	吧	c=60 d=1.01569 t=8552
ba 	把	c=9 d=1.83477 t=8552
ba ba 	爸爸	c=2 d=0.000930303 t=8552
ba bai 	八百	c=2 d=1.8927e-13 t=8552
ba le 	罷了	c=1 d=5.95331e-17 t=8552
