# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
a 	啊	c=43 d=0.374022 t=29023
a le 	阿乐	c=0 d=0.1 t=27085
a li yun 	阿里云	c=1 d=1 t=22891
a xiang 	阿翔	c=1 d=1 t=6059
ai 	唉	c=23 d=0.559898 t=29023
ai 	愛	c=2 d=1.68045 t=28070
ai ai 	愛愛	c=1 d=1 t=21824
ai hao 	愛好	c=2 d=1.9802 t=17105
ai le 	愛了	c=1 d=1 t=21826
ai lian 	愛戀	c=2 d=1.72615 t=21529
ai mu 	愛慕	c=1 d=1 t=21591
ai qing 	愛情	c=2 d=1.10058 t=10513
ai y 	唉<(=～￣▽￣)～	c=1 d=1 t=2116
ai ya 	噯呀	c=1 d=1 t=10886
ai yu 	礙於	c=1 d=1 t=13577
an 	安	c=1 d=0.951229 t=29023
an 	按	c=7 d=0.946485 t=29023
an 	暗	c=0 d=0.1 t=7138
an jian 	按鍵	c=2 d=1.99005 t=14519
an jing 	安靜	c=1 d=1 t=3553
an lian 	暗戀	c=1 d=1 t=11019
an pai 	安排	c=20 d=1 t=27388
an quan 	安全	c=6 d=1.68729 t=20690
an quan gan 	安全感	c=0 d=0.1 t=11360
an quan tao 	安全套	c=1 d=1 t=18847
an wei 	安慰	c=0 d=0.1 t=28225
an xiang cao zuo 	暗箱操作	c=0 d=0.1 t=4817
an xiang cao zuo de 	暗箱操作的	c=1 d=1 t=4818
an zhao 	按照	c=1 d=1 t=6145
an zhuang 	安裝	c=1 d=1 t=679
ang gui 	昂貴	c=1 d=1 t=22634
ao bu guo 	熬不過	c=0 d=0.1 t=9762
ao bu guo qu 	熬不過去	c=1 d=1 t=9763
ao hen 	凹痕	c=2 d=1 t=28663
ao qi 	傲氣	c=1 d=1 t=6131
ao ye 	熬夜	c=4 d=0.1 t=25888
aowu 	┗<(=｀O′=)>┛ 	c=1 d=0.99005 t=29023
ba 	八	c=0 d=0.1 t=714
ba 	吧	c=144 d=0.397262 t=29023
ba 	把	c=58 d=1.83477 t=29023
ba 	爸	c=2 d=1 t=28108
ba a 	巴阿	c=1 d=1 t=21159
ba bai 	八百	c=1 d=1 t=14137
ba dian 	八點	c=1 d=1 t=27281
ba du 	八度	c=1 d=1 t=20274
ba jiu 	八九	c=0 d=0.1 t=20794
ba jiu shi 	八九十	c=1 d=1 t=20795
ba kong 	把控	c=4 d=1 t=19606
ba le 	拔了	c=1 d=1 t=7329
ba le 	罷了	c=2 d=1 t=22449
ba ma 	爸媽	c=7 d=1.96742 t=21164
ba man 	霸蠻	c=1 d=1 t=13628
ba ta 	把他	c=2 d=1 t=22858
ba wei 	八位	c=2 d=1.625 t=27230
ba wo 	把握	c=1 d=1 t=28316
ba wo hao 	把握好	c=1 d=1 t=2578
bai 	擺	c=1 d=1 t=862
bai 	白	c=2 d=1.3413 t=16036
bai bei 	敗北	c=1 d=1 t=16238
bai bian 	百變	c=2 d=1.81873 t=10628
bai du 	百度	c=1 d=1 t=22885
